,1-Cambridge & Charleston,"2-Colchester, England",3-St. John's Green School,4-Barrack Street School,5-North Street,6-Kendall Road School,7-Goole,8-BaltimoreMD-1944,9-MaconGA-1959,10-PlainviewTX-1960,11-SanAntonio-1970,12-AustinTX-1970,13-ElginTX-1970,14-HodeidaYemen-1982,15-JianglingChina-1988,16-Georgia-1993,17-BuriRamThailand-1996,18-Kimba-2011,19-Kerela-2016,20-Haiti-2016,21-Yemen,22-Lesotho,23-Isleworth,"24-Cali, Colombia"
Outbreak,Cambridge & Charleston,"Colchester, England",St. John's Green School,Barrack Street School,North Street,Kendall Road School,Goole,BaltimoreMD-1944,MaconGA-1959,PlainviewTX-1960,SanAntonio-1970,AustinTX-1970,ElginTX-1970,HodeidaYemen-1982,JianglingChina-1988,Georgia-1993,BuriRamThailand-1996,Kimba-2011,Kerela-2016,Haiti-2016,Yemen,Lesotho,Isleworth,"Cali, Colombia"
Week 0,3,3,1,1,2,2,1,2,2,4,4,1,1,1,1,1,1,1,2,1,2,7,2,1
Week 1,21,0,1,3,0,1,2,1,1,3,1,0,1,1,5,1,0,0,0,1,1,8,20,1
Week 2,25,1,0,2,1,3,5,1,1,3,0,0,2,0,15,4,1,0,3,1,0,10,17,0
Week 3,9,0,0,1,0,0,7,2,2,0,0,0,4,1,13,2,1,0,8,4,0,10,7,1
Week 4,2,4,4,1,0,0,8,1,5,0,2,0,2,0,22,5,1,1,23,2,0,9,7,2
Week 5,0,1,2,2,1,12,7,3,6,14,1,1,3,1,13,1,4,0,35,3,16,5,13,0
Week 6,1,0,1,3,1,3,11,0,1,15,0,1,1,2,10,1,5,0,44,5,24,2,2,0
Week 7,0,0,6,0,0,2,25,1,0,16,1,2,0,1,5,3,5,0,63,4,31,3,1,0
Week 8,0,0,0,1,1,0,26,5,NA,1,1,4,NA,0,2,7,6,2,61,8,6,5,1,0
Week 9,2,1,3,0,6,1,13,8,NA,0,2,2,NA,2,3,5,6,1,48,8,10,0,2,0
Week 10,3,0,3,3,0,1,16,10,NA,NA,0,3,NA,3,6,3,1,0,36,17,12,1,NA,0
Week 11,1,4,3,1,0,1,22,8,NA,NA,1,1,NA,5,3,4,0,0,38,5,12,6,NA,2
Week 12,NA,0,1,3,0,1,20,2,NA,NA,0,0,NA,12,1,10,NA,0,36,4,33,2,NA,1
Week 13,NA,1,1,1,0,0,35,2,NA,NA,2,NA,NA,21,2,5,NA,0,13,4,25,NA,NA,NA
Week 14,NA,2,0,1,0,0,8,1,NA,NA,1,NA,NA,24,NA,5,NA,0,12,5,32,NA,NA,NA
Week 15,NA,0,1,0,2,1,8,1,NA,NA,1,NA,NA,21,NA,NA,NA,0,13,2,54,NA,NA,NA
Week 16,NA,2,1,1,0,0,10,1,NA,NA,0,NA,NA,11,NA,NA,NA,2,7,1,76,NA,NA,NA
Week 17,NA,1,0,3,1,NA,1,0,NA,NA,2,NA,NA,23,NA,NA,NA,2,11,NA,47,NA,NA,NA
Week 18,NA,3,1,3,0,NA,10,0,NA,NA,0,NA,NA,12,NA,NA,NA,1,4,NA,44,NA,NA,NA
Week 19,NA,4,0,1,NA,NA,0,2,NA,NA,1,NA,NA,7,NA,NA,NA,0,9,NA,90,NA,NA,NA
Week 20,NA,13,0,2,NA,NA,8,0,NA,NA,0,NA,NA,0,NA,NA,NA,5,4,NA,92,NA,NA,NA
Week 21,NA,5,0,3,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,1,NA,78,NA,NA,NA
Week 22,NA,2,1,4,NA,NA,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,NA,96,NA,NA,NA
Week 23,NA,22,0,0,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,120,NA,NA,NA
Week 24,NA,11,0,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,5,NA,91,NA,NA,NA
Week 25,NA,10,2,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,0,NA,75,NA,NA,NA
Week 26,NA,11,0,0,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,13,1,NA,89,NA,NA,NA
Week 27,NA,13,NA,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,0,NA,60,NA,NA,NA
Week 28,NA,16,NA,0,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,61,NA,NA,NA
Week 29,NA,16,NA,0,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,15,NA,NA,61,NA,NA,NA
Week 30,NA,15,NA,0,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,NA,52,NA,NA,NA
Week 31,NA,7,NA,1,NA,NA,2,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,5,NA,NA,81,NA,NA,NA
Week 32,NA,13,NA,0,NA,NA,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,3,NA,NA,59,NA,NA,NA
Week 33,NA,8,NA,0,NA,NA,0,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,0,NA,NA,36,NA,NA,NA
Week 34,NA,5,NA,NA,NA,NA,0,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
Week 35,NA,6,NA,NA,NA,NA,2,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 36,NA,10,NA,NA,NA,NA,15,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
Week 37,NA,9,NA,NA,NA,NA,2,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 38,NA,6,NA,NA,NA,NA,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Week 39,NA,10,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 40,NA,8,NA,NA,NA,NA,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 41,NA,13,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 42,NA,4,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Week 43,NA,1,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
Week 44,NA,2,NA,NA,NA,NA,0,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 45,NA,4,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 46,NA,5,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 47,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 48,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 49,NA,4,NA,NA,NA,NA,9,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 50,NA,3,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 51,NA,0,NA,NA,NA,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 52,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 53,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 54,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 55,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 56,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 57,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 58,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 59,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 60,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 61,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 62,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 63,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 64,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 65,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 66,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 67,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 68,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 69,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 70,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 71,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 72,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 73,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 74,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 75,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 76,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 77,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 78,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 79,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 80,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 81,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 82,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 83,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 84,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 85,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 86,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 87,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 88,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 89,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 90,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 91,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 92,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 93,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 94,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 95,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 96,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 97,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 98,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 99,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 100,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 101,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 102,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 103,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Week 104,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
