"Location","Country","Region","Date","Mid.Date","Decade","Antitoxin","TimeToDAT","TimeMin","TimeMax","Cases","Deaths","CFR","CFR_CI","N.paralytic","Author.Year","Ref_index","Note"
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","3",3,3,10,1,0.116,"-0.082-0.314",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","4",4,4,3,2,0.687,"0.172-1.202",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","5",5,5,2,1,0.531,"-0.129-1.191",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","6",6,6,1,0,0,"0-0",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","7",7,7,0,0,0,"0",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","8",8,8,0,0,0,"0",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","9",9,9,0,0,0,"0",NA,"Khuri-Bulos 1980","233",NA
"Jordan","Jordan","EMR","1977-1978",1977,1970,"Yes","10",10,10,1,0,0,"0-0",NA,"Khuri-Bulos 1980","233",NA
"Delhi, India","India","SEAR","1997",1997,1990,"Yes","1",1,1,4,0,0,"0-0",NA,"Singh 1999","260",NA
"Delhi, India","India","SEAR","1997",1997,1990,"Yes","2",2,2,18,2,0.111,"-0.034-0.256",NA,"Singh 1999","260",NA
"Delhi, India","India","SEAR","1997",1997,1990,"Yes","=3",3,10,105,40,0.381,"0.288-0.474",NA,"Singh 1999","260",NA
"Montreal","Canada","AMR","1896",1896,1890,"Yes","1",1,1,1374,67,0.049,NA,NA,NA,"635","No numbers given for individual groups, so assumed from totals."
"Montreal","Canada","AMR","1896",1896,1890,"Yes","2",2,2,1373,102,0.074,NA,NA,NA,"635",NA
"Montreal","Canada","AMR","1896",1896,1890,"Yes","3",3,3,1373,121,0.088,NA,NA,NA,"635",NA
"Montreal","Canada","AMR","1896",1896,1890,"Yes","4",4,4,837,173,0.207,NA,NA,NA,"635",NA
"Montreal","Canada","AMR","1896",1896,1890,"Yes","=5",5,10,837,295,0.353,NA,NA,NA,"635",NA
"Toronto","Canada","AMR","1902",1902,1900,"Yes","1",1,1,8753.5,444,0.051,NA,NA,"Dawson 1903","707","No numbers given for individual groups, so assumed from totals."
"Toronto","Canada","AMR","1902",1902,1900,"Yes","2",2,2,8753.5,743,0.085,NA,NA,"Dawson 1903","707",NA
"Toronto","Canada","AMR","1902",1902,1900,"Yes","3",3,3,8753.5,1362,0.156,NA,NA,"Dawson 1903","707",NA
"Toronto","Canada","AMR","1902",1902,1900,"Yes","4",4,4,8753.5,2045,0.234,NA,NA,"Dawson 1903","707",NA
"Toronto","Canada","AMR","1902",1902,1900,"Yes","5",5,5,8753.5,2628,0.3,NA,NA,"Dawson 1903","707",NA
"Toronto","Canada","AMR","1902",1902,1900,"Yes","=6",6,10,8753.5,2045,0.234,NA,NA,"Dawson 1903","707",NA
